input1	input2	input3	input4	input5	output
383	398	410	400	400	403
398	410	400	400	403	408
410	400	400	403	408	408
400	400	403	408	408	435
400	403	408	408	435	440
403	408	408	435	440	468
408	408	435	440	468	478
408	435	440	468	478	480
435	440	468	478	480	493
440	468	478	480	493	500
468	478	480	493	500	505
478	480	493	500	505	508
480	493	500	505	508	518
493	500	505	508	518	543
500	505	508	518	543	585
505	508	518	543	585	613
508	518	543	585	613	630
518	543	585	613	630	655
543	585	613	630	655	640
585	613	630	655	640	608
613	630	655	640	608	570
630	655	640	608	570	543
655	640	608	570	543	533
640	608	570	543	533	510
608	570	543	533	510	488
570	543	533	510	488	485
543	533	510	488	485	458
533	510	488	485	458	460
510	488	485	458	460	475
488	485	458	460	475	485
485	458	460	475	485	490
458	460	475	485	490	505
460	475	485	490	505	515
475	485	490	505	515	543
485	490	505	515	543	555
490	505	515	543	555	575
505	515	543	555	575	595
515	543	555	575	595	605
543	555	575	595	605	603
555	575	595	605	603	605
575	595	605	603	605	583
595	605	603	605	583	568
605	603	605	583	568	555
603	605	583	568	555	550
605	583	568	555	550	555
583	568	555	550	555	565
